Player,IP,BF,ERA,FIP,WHIP,K%,BB%,GB%,FB%,SO/BB,WAR,HR9,Whiff%,Swing%,PutAway%,League
Matt Festa,54.2,226,4.12,3.14,1.079,24.8,6.6,39.3,23.3,3.73,-0.2,0.7,,,,MLB
Cade Gibson*,54.2,230,2.63,3.76,1.189,18.7,9.1,50.6,17.5,2.05,1.4,0.5,,,,MLB
Aaron Bummer*,54.1,235,3.81,3.52,1.252,21.7,7.2,54.5,16.0,3.0,0.1,0.5,,,,MLB
Brandon Walter*,53.2,212,3.35,4.01,0.932,24.5,1.9,43.8,26.8,13.0,1.3,1.7,,,,MLB
David Festa,53.1,229,5.4,4.88,1.275,23.1,8.3,35.3,34.0,2.79,0.3,1.7,,,,MLB
Andrew Kittredge,53.0,208,3.4,3.06,0.981,30.8,5.3,48.9,25.6,5.82,0.6,1.2,,,,MLB
Mason Fluharty*,52.2,215,4.44,3.97,1.139,26.0,11.2,40.6,30.1,2.33,0.1,1.0,,,,MLB
Josh Hader*,52.2,206,2.05,3.25,0.854,36.9,7.8,20.7,35.1,4.75,2.3,1.4,,,,MLB
Cole Henry,52.2,241,4.27,5.34,1.424,21.6,13.3,31.5,28.1,1.63,0.3,1.2,,,,MLB
Daniel Palencia,52.2,215,2.91,3.08,1.139,28.4,7.4,38.2,25.7,3.81,0.6,0.9,,,,MLB
Joe Boyle,52.0,226,4.67,4.19,1.365,25.7,12.4,44.5,28.5,2.07,-0.2,1.0,,,,MLB
Brennan Bernardino*,51.2,224,3.14,3.41,1.258,19.2,11.6,49.0,21.9,1.65,0.4,0.2,,,,MLB
Tyler Gilbert*,51.0,215,3.88,4.02,1.255,22.8,11.2,32.1,35.7,2.04,0.5,0.9,,,,MLB
Joe Ross,51.0,228,5.12,4.88,1.471,17.1,7.9,44.6,25.0,2.17,0.1,1.4,,,,MLB
Luke Jackson,51.0,219,4.06,4.49,1.353,17.4,12.8,50.7,22.0,1.36,-0.6,0.7,,,,MLB
Tobias Myers,50.2,220,3.55,3.93,1.362,17.3,6.8,36.4,27.9,2.53,0.6,0.9,,,,MLB
Randy Rodríguez,50.2,198,1.78,2.41,0.888,33.8,5.6,37.1,31.0,6.09,1.9,0.7,,,,MLB
Bennett Sousa*,50.2,199,2.84,2.72,1.026,29.6,7.5,38.4,28.0,3.93,1.3,0.7,,,,MLB
Victor Vodnik,50.2,215,3.02,3.77,1.401,22.8,12.1,54.3,22.1,1.88,1.8,0.7,,,,MLB
Taylor Rogers*,50.2,221,3.38,4.38,1.382,24.0,10.4,40.8,22.5,2.3,0.4,1.2,,,,MLB
Anthony Bender,50.0,204,2.16,3.62,1.06,20.6,10.3,48.2,30.2,2.0,1.9,0.5,,,,MLB
Braydon Fisher,50.0,202,2.7,3.02,1.02,30.7,9.4,35.6,33.1,3.26,1.4,0.7,,,,MLB
Casey Legumina,49.2,219,5.62,4.38,1.45,25.1,11.4,38.7,29.9,2.2,-0.9,1.3,,,,MLB
